"Index","LandAverageTemperature"
"Jan 1750",3.034
"Feb 1750",3.083
"Mar 1750",5.626
"Apr 1750",8.49
"May 1750",11.573
"Jun 1750",12.937
"Jul 1750",15.868
"Aug 1750",14.75
"Sep 1750",11.413
"Oct 1750",6.367
"Nov 1750",8.12389500156848
"Dec 1750",2.772
"Jan 1751",2.495
"Feb 1751",0.963
"Mar 1751",5.8
"Apr 1751",7.67
"May 1751",9.99051655678771
"Jun 1751",13.827
"Jul 1751",11.6931017436408
"Aug 1751",14.405
"Sep 1751",10.673
"Oct 1751",8.64255200997339
"Nov 1751",8.58238594078748
"Dec 1751",5.55141429743416
"Jan 1752",0.348
"Feb 1752",2.29656866851125
"Mar 1752",5.806
"Apr 1752",8.265
"May 1752",8.99420464180572
"Jun 1752",10.5694154692534
"Jul 1752",9.78077490517972
"Aug 1752",10.4568933477429
"Sep 1752",9.13952529034282
"Oct 1752",7.839
"Nov 1752",7.335
"Dec 1752",5.086
"Jan 1753",2.039
"Feb 1753",0.715
"Mar 1753",5.424
"Apr 1753",8.272
"May 1753",12.186
"Jun 1753",14.585
"Jul 1753",15.092
"Aug 1753",14.148
"Sep 1753",13.322
"Oct 1753",8.962
"Nov 1753",5.353
"Dec 1753",0.559
"Jan 1754",1.574
"Feb 1754",-1.249
"Mar 1754",3.677
"Apr 1754",11.61
"May 1754",11.936
"Jun 1754",14.388
"Jul 1754",14.681
"Aug 1754",13.556
"Sep 1754",11.129
"Oct 1754",9.582
"Nov 1754",6.161
"Dec 1754",4.587
"Jan 1755",1.067
"Feb 1755",-0.108
"Mar 1755",3.607
"Apr 1755",9.263
"May 1755",12.881
"Jun 1755",15.38
"Jul 1755",14.397
"Aug 1755",13.515
"Sep 1755",11.773
"Oct 1755",9.97
"Nov 1755",5.958
"Dec 1755",2.564
"Jan 1756",3.887
"Feb 1756",5.666
"Mar 1756",4.192
"Apr 1756",10.042
"May 1756",14.164
"Jun 1756",14.547
"Jul 1756",13.906
"Aug 1756",13.437
"Sep 1756",12.652
"Oct 1756",7.312
"Nov 1756",4.225
"Dec 1756",2.165
"Jan 1757",-0.276
"Feb 1757",3.704
"Mar 1757",4.529
"Apr 1757",8.246
"May 1757",13.039
"Jun 1757",17.115
"Jul 1757",17.61
"Aug 1757",17.91
"Sep 1757",14.852
"Oct 1757",6.482
"Nov 1757",4.032
"Dec 1757",1.021
"Jan 1758",-1.503
"Feb 1758",0.806
"Mar 1758",3.765
"Apr 1758",7.21
"May 1758",9.715
"Jun 1758",13.139
"Jul 1758",13.847
"Aug 1758",11.818
"Sep 1758",10.028
"Oct 1758",1.894
"Nov 1758",6.955
"Dec 1758",3.249
"Jan 1759",5.014
"Feb 1759",4.082
"Mar 1759",4.52
"Apr 1759",5.983
"May 1759",10.189
"Jun 1759",13.512
"Jul 1759",12.526
"Aug 1759",14.587
"Sep 1759",12.626
"Oct 1759",8.267
"Nov 1759",4.268
"Dec 1759",0.247
"Jan 1760",-0.811
"Feb 1760",2.436
"Mar 1760",1.864
"Apr 1760",7.436
"May 1760",10.661
"Jun 1760",11.945
"Jul 1760",12.887
"Aug 1760",13.917
"Sep 1760",11.197
"Oct 1760",6.701
"Nov 1760",5.436
"Dec 1760",2.553
"Jan 1761",0.6
"Feb 1761",2.735
"Mar 1761",5.976
"Apr 1761",7.321
"May 1761",13.451
"Jun 1761",16.821
"Jul 1761",19.021
"Aug 1761",15.331
"Sep 1761",12.535
"Oct 1761",7.227
"Nov 1761",5.089
"Dec 1761",-0.837
"Jan 1762",6.866
"Feb 1762",4.801
"Mar 1762",3.528
"Apr 1762",9.019
"May 1762",10.881
"Jun 1762",13.499
"Jul 1762",14.72
"Aug 1762",13.992
"Sep 1762",10.326
"Oct 1762",6.156
"Nov 1762",6.367
"Dec 1762",3.123
"Jan 1763",1.369
"Feb 1763",0.771
"Mar 1763",1.576
"Apr 1763",7.871
"May 1763",10.701
"Jun 1763",12.271
"Jul 1763",16.391
"Aug 1763",14.126
"Sep 1763",11.378
"Oct 1763",5.535
"Nov 1763",4.588
"Dec 1763",3.384
"Jan 1764",1.741
"Feb 1764",6.162
"Mar 1764",5.521
"Apr 1764",7.88
"May 1764",11.175
"Jun 1764",11.723
"Jul 1764",12.507
"Aug 1764",12.282
"Sep 1764",10.696
"Oct 1764",10.011
"Nov 1764",5.791
"Dec 1764",5.315
"Jan 1765",3.78
"Feb 1765",3.832
"Mar 1765",6.859
"Apr 1765",9.013
"May 1765",10.734
"Jun 1765",10.833
"Jul 1765",13.953
"Aug 1765",13.12
"Sep 1765",10.993
"Oct 1765",7.904
"Nov 1765",5.603
"Dec 1765",2.399
"Jan 1766",-0.793
"Feb 1766",4.896
"Mar 1766",6.062
"Apr 1766",8.007
"May 1766",11.228
"Jun 1766",13.653
"Jul 1766",13.555
"Aug 1766",13.758
"Sep 1766",12.25
"Oct 1766",8.465
"Nov 1766",7.454
"Dec 1766",2.333
"Jan 1767",-0.643
"Feb 1767",3.932
"Mar 1767",7.022
"Apr 1767",6.278
"May 1767",10.193
"Jun 1767",14.112
"Jul 1767",13.361
"Aug 1767",14.597
"Sep 1767",11.675
"Oct 1767",9.027
"Nov 1767",7.915
"Dec 1767",1.189
"Jan 1768",-2.08
"Feb 1768",0.506
"Mar 1768",2.446
"Apr 1768",6.92
"May 1768",9.066
"Jun 1768",12.49
"Jul 1768",13.875
"Aug 1768",12.352
"Sep 1768",10.824
"Oct 1768",7.729
"Nov 1768",4.581
"Dec 1768",2.667
"Jan 1769",2.305
"Feb 1769",2.164
"Mar 1769",4.57
"Apr 1769",8.967
"May 1769",12.873
"Jun 1769",15.142
"Jul 1769",14.461
"Aug 1769",13.494
"Sep 1769",11.25
"Oct 1769",5.297
"Nov 1769",2.79
"Dec 1769",-0.978
"Jan 1770",1.974
"Feb 1770",4.105
"Mar 1770",1.612
"Apr 1770",9.788
"May 1770",9.996
"Jun 1770",11.884
"Jul 1770",11.621
"Aug 1770",11.413
"Sep 1770",10.724
"Oct 1770",8.661
"Nov 1770",5.791
"Dec 1770",4.734
"Jan 1771",5.101
"Feb 1771",-0.274
"Mar 1771",2.814
"Apr 1771",5.717
"May 1771",9.626
"Jun 1771",14.104
"Jul 1771",13.828
"Aug 1771",14.204
"Sep 1771",11.363
"Oct 1771",10.317
"Nov 1771",4.916
"Dec 1771",2.522
"Jan 1772",1.253
"Feb 1772",1.478
"Mar 1772",3.057
"Apr 1772",8.858
"May 1772",9.531
"Jun 1772",12.647
"Jul 1772",14.581
"Aug 1772",14.098
"Sep 1772",10.303
"Oct 1772",9.268
"Nov 1772",7.736
"Dec 1772",5.512
"Jan 1773",-0.437
"Feb 1773",1.421
"Mar 1773",4.422
"Apr 1773",9.415
"May 1773",12.764
"Jun 1773",12.811
"Jul 1773",14.484
"Aug 1773",13.624
"Sep 1773",12.488
"Oct 1773",9.206
"Nov 1773",3.369
"Dec 1773",5.091
"Jan 1774",-0.325
"Feb 1774",4.914
"Mar 1774",5.643
"Apr 1774",10.153
"May 1774",16.025
"Jun 1774",15.371
"Jul 1774",16.521
"Aug 1774",14.099
"Sep 1774",10.936
"Oct 1774",8.59
"Nov 1774",3.029
"Dec 1774",0.31
"Jan 1775",4.261
"Feb 1775",6.427
"Mar 1775",7.759
"Apr 1775",7.952
"May 1775",11.399
"Jun 1775",12.314
"Jul 1775",14.719
"Aug 1775",14.435
"Sep 1775",11.096
"Oct 1775",10.372
"Nov 1775",8.179
"Dec 1775",1.284
"Jan 1776",-0.806
"Feb 1776",4.825
"Mar 1776",4.652
"Apr 1776",7.44
"May 1776",10.475
"Jun 1776",14.564
"Jul 1776",14.108
"Aug 1776",14.837
"Sep 1776",10.602
"Oct 1776",8.06
"Nov 1776",5.87
"Dec 1776",5.021
"Jan 1777",6.021
"Feb 1777",4.919
"Mar 1777",5.572
"Apr 1777",6.362
"May 1777",11.389
"Jun 1777",12.323
"Jul 1777",12.743
"Aug 1777",12.815
"Sep 1777",11.379
"Oct 1777",6.956
"Nov 1777",5.529
"Dec 1777",3.067
"Jan 1778",2.521
"Feb 1778",6.094
"Mar 1778",4.604
"Apr 1778",10.984
"May 1778",11.286
"Jun 1778",11.731
"Jul 1778",15.037
"Aug 1778",12.869
"Sep 1778",13.377
"Oct 1778",8.049
"Nov 1778",3.854
"Dec 1778",2.101
"Jan 1779",1.47
"Feb 1779",5.14
"Mar 1779",6.967
"Apr 1779",9.965
"May 1779",14.18
"Jun 1779",12.547
"Jul 1779",13.659
"Aug 1779",13.799
"Sep 1779",12.683
"Oct 1779",9.35
"Nov 1779",5.77
"Dec 1779",2.269
"Jan 1780",2.515
"Feb 1780",4.08
"Mar 1780",5.724
"Apr 1780",13.732
"May 1780",15.757
"Jun 1780",14.747
"Jul 1780",16.183
"Aug 1780",12.947
"Sep 1780",8.844
"Oct 1780",9.376
"Nov 1780",6.706
"Dec 1780",2.584
"Jan 1781",2.401
"Feb 1781",2.267
"Mar 1781",4.772
"Apr 1781",6.923
"May 1781",11.102
"Jun 1781",11.678
"Jul 1781",14.285
"Aug 1781",14.141
"Sep 1781",10.304
"Oct 1781",8.547
"Nov 1781",7.523
"Dec 1781",3.288
"Jan 1782",0.341
"Feb 1782",0.639
"Mar 1782",2.565
"Apr 1782",8.618
"May 1782",10.99
"Jun 1782",13.801
"Jul 1782",13.925
"Aug 1782",15.683
"Sep 1782",12.398
"Oct 1782",8.978
"Nov 1782",4.956
"Dec 1782",1.921
"Jan 1783",-1.431
"Feb 1783",5.294
"Mar 1783",4.799
"Apr 1783",8.574
"May 1783",11.819
"Jun 1783",14.34
"Jul 1783",13.069
"Aug 1783",13.971
"Sep 1783",9.958
"Oct 1783",7.357
"Nov 1783",2.196
"Dec 1783",2.224
"Jan 1784",2.596
"Feb 1784",0.989
"Mar 1784",3.919
"Apr 1784",8.142
"May 1784",10.013
"Jun 1784",12.803
"Jul 1784",14.947
"Aug 1784",15.861
"Sep 1784",10.266
"Oct 1784",6.836
"Nov 1784",4.557
"Dec 1784",3.415
"Jan 1785",0.865
"Feb 1785",1.045
"Mar 1785",2.289
"Apr 1785",6.379
"May 1785",9.853
"Jun 1785",13.744
"Jul 1785",14.468
"Aug 1785",14.466
"Sep 1785",10.497
"Oct 1785",7.351
"Nov 1785",5.526
"Dec 1785",1.873
"Jan 1786",0.763
"Feb 1786",2.657
"Mar 1786",5.648
"Apr 1786",9.318
"May 1786",11.583
"Jun 1786",13.035
"Jul 1786",15.294
"Aug 1786",14.455
"Sep 1786",12.158
"Oct 1786",7.712
"Nov 1786",5.741
"Dec 1786",0.734
"Jan 1787",2.845
"Feb 1787",2.563
"Mar 1787",4.698
"Apr 1787",7.772
"May 1787",11.403
"Jun 1787",14.369
"Jul 1787",13.451
"Aug 1787",13.555
"Sep 1787",10.357
"Oct 1787",7.772
"Nov 1787",5.801
"Dec 1787",1.796
"Jan 1788",0.735
"Feb 1788",3.581
"Mar 1788",5.336
"Apr 1788",8.714
"May 1788",10.428
"Jun 1788",13.808
"Jul 1788",16.468
"Aug 1788",13.885
"Sep 1788",11.699
"Oct 1788",9.349
"Nov 1788",6.111
"Dec 1788",1.252
"Jan 1789",3.706
"Feb 1789",1.675
"Mar 1789",3.989
"Apr 1789",7.694
"May 1789",11.666
"Jun 1789",13.507
"Jul 1789",15.462
"Aug 1789",13.84
"Sep 1789",12.018
"Oct 1789",7.39
"Nov 1789",5.964
"Dec 1789",3.099
"Jan 1790",2.444
"Feb 1790",2.973
"Mar 1790",4.582
"Apr 1790",6.053
"May 1790",10.357
"Jun 1790",13.746
"Jul 1790",13.812
"Aug 1790",13.925
"Sep 1790",11.233
"Oct 1790",8.577
"Nov 1790",5.331
"Dec 1790",2.755
"Jan 1791",1.493
"Feb 1791",3.466
"Mar 1791",4.79
"Apr 1791",9.127
"May 1791",9.859
"Jun 1791",13.231
"Jul 1791",13.612
"Aug 1791",13.744
"Sep 1791",11.677
"Oct 1791",8.08
"Nov 1791",6.206
"Dec 1791",3.526
"Jan 1792",0.348
"Feb 1792",3.62
"Mar 1792",4.429
"Apr 1792",7.994
"May 1792",11.321
"Jun 1792",13.581
"Jul 1792",14.212
"Aug 1792",12.281
"Sep 1792",12.491
"Oct 1792",8.097
"Nov 1792",5.306
"Dec 1792",3.388
"Jan 1793",0.521
"Feb 1793",4.745
"Mar 1793",5.042
"Apr 1793",8.643
"May 1793",11.059
"Jun 1793",13.146
"Jul 1793",14.336
"Aug 1793",13.16
"Sep 1793",12.002
"Oct 1793",8.393
"Nov 1793",5.666
"Dec 1793",2.037
"Jan 1794",3.71
"Feb 1794",3.605
"Mar 1794",5.696
"Apr 1794",9.367
"May 1794",12.376
"Jun 1794",11.994
"Jul 1794",12.874
"Aug 1794",13.484
"Sep 1794",11.896
"Oct 1794",9.108
"Nov 1794",5.284
"Dec 1794",2.918
"Jan 1795",2.731
"Feb 1795",4.39
"Mar 1795",5.709
"Apr 1795",8.918
"May 1795",11.029
"Jun 1795",13.293
"Jul 1795",14.295
"Aug 1795",13.14
"Sep 1795",11.133
"Oct 1795",7.786
"Nov 1795",5.207
"Dec 1795",2.573
"Jan 1796",2.844
"Feb 1796",2.736
"Mar 1796",3.477
"Apr 1796",7.773
"May 1796",11.273
"Jun 1796",14.216
"Jul 1796",14.314
"Aug 1796",14.722
"Sep 1796",12.012
"Oct 1796",8.924
"Nov 1796",5.702
"Dec 1796",1.259
"Jan 1797",4.396
"Feb 1797",4.957
"Mar 1797",4.056
"Apr 1797",6.6
"May 1797",10.417
"Jun 1797",13.852
"Jul 1797",14.107
"Aug 1797",14.04
"Sep 1797",12.459
"Oct 1797",9.191
"Nov 1797",4.777
"Dec 1797",3.275
"Jan 1798",2.679
"Feb 1798",3.213
"Mar 1798",7.008
"Apr 1798",8.083
"May 1798",11.769
"Jun 1798",13.246
"Jul 1798",14.951
"Aug 1798",14.754
"Sep 1798",11.627
"Oct 1798",8.655
"Nov 1798",6.031
"Dec 1798",2.027
"Jan 1799",1.923
"Feb 1799",2.078
"Mar 1799",3.986
"Apr 1799",8.786
"May 1799",11.353
"Jun 1799",13.68
"Jul 1799",14.869
"Aug 1799",14.086
"Sep 1799",12.311
"Oct 1799",9.606
"Nov 1799",5.904
"Dec 1799",3.487
"Jan 1800",2.815
"Feb 1800",3.634
"Mar 1800",4.452
"Apr 1800",9.125
"May 1800",11.097
"Jun 1800",13.606
"Jul 1800",13.763
"Aug 1800",13.619
"Sep 1800",10.795
"Oct 1800",9.469
"Nov 1800",5.572
"Dec 1800",3.864
"Jan 1801",2.687
"Feb 1801",3.149
"Mar 1801",6.455
"Apr 1801",7.404
"May 1801",12.123
"Jun 1801",12.536
"Jul 1801",14.676
"Aug 1801",13.187
"Sep 1801",11.462
"Oct 1801",9.099
"Nov 1801",5.72
"Dec 1801",4.578
"Jan 1802",3.74
"Feb 1802",2.828
"Mar 1802",5.201
"Apr 1802",7.623
"May 1802",10.457
"Jun 1802",14.471
"Jul 1802",14.628
"Aug 1802",14.039
"Sep 1802",11.788
"Oct 1802",9.747
"Nov 1802",5.535
"Dec 1802",2.881
"Jan 1803",0.602
"Feb 1803",1.443
"Mar 1803",4.875
"Apr 1803",9.291
"May 1803",11.795
"Jun 1803",13.821
"Jul 1803",15.106
"Aug 1803",15.366
"Sep 1803",12.33
"Oct 1803",9.119
"Nov 1803",5.961
"Dec 1803",2.327
"Jan 1804",2.445
"Feb 1804",1.939
"Mar 1804",4.425
"Apr 1804",10.057
"May 1804",12.107
"Jun 1804",13.774
"Jul 1804",15.774
"Aug 1804",14.511
"Sep 1804",12.468
"Oct 1804",9.282
"Nov 1804",7.132
"Dec 1804",2.224
"Jan 1805",2.822
"Feb 1805",2.557
"Mar 1805",5.76
"Apr 1805",8.123
"May 1805",11.104
"Jun 1805",14.027
"Jul 1805",14.702
"Aug 1805",15.27
"Sep 1805",12.039
"Oct 1805",7.636
"Nov 1805",4.555
"Dec 1805",4.158
"Jan 1806",2.917
"Feb 1806",2.937
"Mar 1806",4.691
"Apr 1806",8.032
"May 1806",11.503
"Jun 1806",12.418
"Jul 1806",13.923
"Aug 1806",14.593
"Sep 1806",12.549
"Oct 1806",8.426
"Nov 1806",5.231
"Dec 1806",3.989
"Jan 1807",1.055
"Feb 1807",4.094
"Mar 1807",4.788
"Apr 1807",6.971
"May 1807",9.331
"Jun 1807",13.293
"Jul 1807",14.138
"Aug 1807",13.799
"Sep 1807",12.615
"Oct 1807",8.857
"Nov 1807",6.015
"Dec 1807",4.421
"Jan 1808",1.131
"Feb 1808",2.142
"Mar 1808",4.361
"Apr 1808",7.482
"May 1808",9.357
"Jun 1808",13.429
"Jul 1808",14.491
"Aug 1808",13.047
"Sep 1808",12.711
"Oct 1808",7.972
"Nov 1808",4.512
"Dec 1808",0.887
"Jan 1809",0.208
"Feb 1809",0.856
"Mar 1809",3.425
"Apr 1809",7.833
"May 1809",9.243
"Jun 1809",12.998
"Jul 1809",12.656
"Aug 1809",12.905
"Sep 1809",10.967
"Oct 1809",8.65
"Nov 1809",3.099
"Dec 1809",2.077
"Jan 1810",0.888
"Feb 1810",2.391
"Mar 1810",5.014
"Apr 1810",6.533
"May 1810",9.069
"Jun 1810",11.934
"Jul 1810",12.551
"Aug 1810",12.041
"Sep 1810",9.532
"Oct 1810",6.632
"Nov 1810",3.827
"Dec 1810",2.66
"Jan 1811",1.374
"Feb 1811",0.45
"Mar 1811",3.701
"Apr 1811",6.302
"May 1811",9.443
"Jun 1811",12.137
"Jul 1811",11.956
"Aug 1811",13.326
"Sep 1811",10.368
"Oct 1811",6.58
"Nov 1811",3.503
"Dec 1811",3.174
"Jan 1812",0.977
"Feb 1812",0.131
"Mar 1812",2.044
"Apr 1812",6.95
"May 1812",9.58
"Jun 1812",12.005
"Jul 1812",14.355
"Aug 1812",15.018
"Sep 1812",10.185
"Oct 1812",7.593
"Nov 1812",4.369
"Dec 1812",1.348
"Jan 1813",-1.385
"Feb 1813",2.258
"Mar 1813",1.596
"Apr 1813",8.182
"May 1813",11.367
"Jun 1813",13.242
"Jul 1813",14.521
"Aug 1813",13.097
"Sep 1813",12.339
"Oct 1813",8.666
"Nov 1813",6.825
"Dec 1813",2.171
"Jan 1814",1.502
"Feb 1814",1.689
"Mar 1814",2.664
"Apr 1814",7.193
"May 1814",9.417
"Jun 1814",12.818
"Jul 1814",12.532
"Aug 1814",12.668
"Sep 1814",10.676
"Oct 1814",7.374
"Nov 1814",6.739
"Dec 1814",5.829
"Jan 1815",2.051
"Feb 1815",2.273
"Mar 1815",3.663
"Apr 1815",6.588
"May 1815",9.845
"Jun 1815",11.162
"Jul 1815",14.394
"Aug 1815",13.209
"Sep 1815",11.151
"Oct 1815",7.137
"Nov 1815",4.178
"Dec 1815",1.221
"Jan 1816",2.737
"Feb 1816",0.676
"Mar 1816",3.905
"Apr 1816",7.606
"May 1816",10.594
"Jun 1816",11.79
"Jul 1816",12.267
"Aug 1816",12.57
"Sep 1816",10.39
"Oct 1816",5.699
"Nov 1816",4.058
"Dec 1816",0.958
"Jan 1817",1.54
"Feb 1817",3.649
"Mar 1817",4.569
"Apr 1817",7.889
"May 1817",9.476
"Jun 1817",11.287
"Jul 1817",12.072
"Aug 1817",13.403
"Sep 1817",8.812
"Oct 1817",6.203
"Nov 1817",4.638
"Dec 1817",0.17
"Jan 1818",1.204
"Feb 1818",0.755
"Mar 1818",5.565
"Apr 1818",9.901
"May 1818",11.247
"Jun 1818",13.825
"Jul 1818",13.51
"Aug 1818",13.166
"Sep 1818",10.578
"Oct 1818",6.654
"Nov 1818",5.035
"Dec 1818",2.507
"Jan 1819",1.014
"Feb 1819",2.286
"Mar 1819",2.931
"Apr 1819",7.029
"May 1819",9.851
"Jun 1819",12.526
"Jul 1819",13.038
"Aug 1819",12.557
"Sep 1819",10.894
"Oct 1819",9.312
"Nov 1819",5.15
"Dec 1819",1.842
"Jan 1820",1.236
"Feb 1820",2.145
